"STATION","NAME","DATE","HLY-TEMP-NORMAL"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T01:00:00","60.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T02:00:00","59.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T03:00:00","58.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T04:00:00","56.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T05:00:00","55.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T06:00:00","57.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T07:00:00","61.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T08:00:00","65.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T09:00:00","68.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T10:00:00","71.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T11:00:00","74.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T12:00:00","76.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T13:00:00","78.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T14:00:00","79.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T15:00:00","80.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T16:00:00","80.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T17:00:00","79.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T18:00:00","78.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T19:00:00","75.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T20:00:00","70.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T21:00:00","67.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T22:00:00","65.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-01T23:00:00","63.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T00:00:00","62.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T01:00:00","61.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T02:00:00","59.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T03:00:00","58.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T04:00:00","57.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T05:00:00","56.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T06:00:00","58.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T07:00:00","62.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T08:00:00","65.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T09:00:00","69.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T10:00:00","72.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T11:00:00","74.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T12:00:00","77.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T13:00:00","78.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T14:00:00","79.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T15:00:00","80.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T16:00:00","80.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T17:00:00","79.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T18:00:00","78.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T19:00:00","75.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T20:00:00","71.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T21:00:00","67.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T22:00:00","65.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-02T23:00:00","64.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T00:00:00","62.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T01:00:00","61.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T02:00:00","60.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T03:00:00","58.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T04:00:00","57.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T05:00:00","56.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T06:00:00","58.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T07:00:00","62.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T08:00:00","66.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T09:00:00","69.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T10:00:00","72.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T11:00:00","75.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T12:00:00","77.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T13:00:00","79.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T14:00:00","80.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T15:00:00","80.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T16:00:00","80.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T17:00:00","80.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T18:00:00","78.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T19:00:00","76.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T20:00:00","71.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T21:00:00","67.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T22:00:00","65.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-03T23:00:00","64.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T00:00:00","63.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T01:00:00","61.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T02:00:00","60.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T03:00:00","58.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T04:00:00","57.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T05:00:00","56.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T06:00:00","58.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T07:00:00","62.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T08:00:00","66.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T09:00:00","69.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T10:00:00","72.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T11:00:00","75.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T12:00:00","77.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T13:00:00","79.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T14:00:00","80.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T15:00:00","81.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T16:00:00","81.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T17:00:00","80.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T18:00:00","78.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T19:00:00","76.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T20:00:00","71.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T21:00:00","67.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T22:00:00","65.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-04T23:00:00","64.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T00:00:00","63.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T01:00:00","61.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T02:00:00","60.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T03:00:00","59.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T04:00:00","57.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T05:00:00","56.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T06:00:00","58.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T07:00:00","62.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T08:00:00","66.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T09:00:00","69.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T10:00:00","72.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T11:00:00","75.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T12:00:00","77.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T13:00:00","79.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T14:00:00","80.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T15:00:00","81.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T16:00:00","81.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-05T17:00:00","80.4"
